oscem,fromformat,optionals,units,crunch,type
,,,,,
instrument.microscope.model,,,,,String
instrument.microscope.manufacturer,,,,,String
instrument.imaging,filter.mode,Signal.signal_type,,,String
instrument.electron_source,,,,,String
instrument.illumination,condenser.mode,source.name,,,String
instrument.operating_mode,Extractor.operating_mode,General.title,,,String
instrument.acceleration_voltage,electron_gun.voltage,electron_gun.voltage_target,kV,0.001,Int
instrument.beam_convergence,,,,,Float64
,,,,,
acquisition.date_time,scan_generator.start_time,camera.time,,,String
acquisition.nominal_defocus.minimal,,,,,Float64
acquisition.nominal_defocus.maximal,,,,,Float64
acquisition.screen_current,,,,,Float64
acquisition.nominal_magnification,scan_driver.magnification,,,,Int
acquisition.holder,,,,,String
acquisition.image_size.height,image_size.height,,,,Int
acquisition.image_size.width,image_size.width,,,,Int
acquisition.exposure_time,camera.exposure_time,,s,,Float64
acquisition.binning_camera.height,camera.binning[0],,,,Int
acquisition.binning_camera.width,camera.binning[1],,,,Int
acquisition.pixel_size,camera.pixel_size,,Å,10000000000,Float64
,,,,,
acquisition.detectors[N].name,source.detector_config.description;,,,,String
acquisition.detectors[N].mode,;filter.mode,,,,String
acquisition.detectors[N].dispersion,;filter.dispersion,,eV,,Float64
acquisition.detectors[N].collection_angle.minimal,,,mrad,1000,Float64
acquisition.detectors[N].collection_angle.maximal,,,mrad,1000,Float64
