OSCEM,fromxml,frommdoc,in PDBx/mmCIF,type,Ontology suggestions,optionals_mdoc,units,crunchfromxml,crunchfrommdoc,unitsExplicit,optionals_xml
,,,,,,,,,,,
instrument.microscope.class,,,,String,,,,,,,
instrument.microscope.model,MicroscopeImage.microscopeData.instrument.InstrumentModel,,_em_imaging.microscope_model,String,,,,,,,
instrument.microscope.manufacturer,,,,String,,,,,,,
instrument.illumination,MicroscopeImage.microscopeData.optics.IlluminationMode,,_em_imaging.illumination_mode ,String,,,,,,,
instrument.imaging,MicroscopeImage.microscopeData.optics.ColumnOperatingTemSubMode,ImagingMode,_em_imaging.mode,String,,,,,,,
instrument.electron_source,MicroscopeImage.microscopeData.gun.Sourcetype,Source,_em_imaging.electron_source ,String,https://purls.helmholtz-metadaten.de/emg/EMG_00000045,,,,,,
instrument.acceleration_voltage,MicroscopeImage.microscopeData.gun.AccelerationVoltage,Voltage,_em_imaging.accelerating_voltage ,Int,https://purls.helmholtz-metadaten.de/emg/EMG_00000004,,kV,0.001,,kilovolts,
instrument.c2_aperture,Aperture[C2].Name,,_em_imaging.c2_aperture_diameter,Int,,,um,,,micrometres,
instrument.cs,,CS,_em_imaging.nominal_cs ,Float64,,,mm,,,millimetres,
,,,,,,,,,,,
acquisition.nominal_defocus.minimal,AppliedDefocus_min,TargetDefocus_min,_em_imaging.nominal_defocus_max,Float64,,TargetDefocus,nm,1000000000,1000,nanometers,
acquisition.nominal_defocus.maximal,AppliedDefocus_max,TargetDefocus_max,_em_imaging.nominal_defocus_min,Float64,,,nm,1000000000,1000,nanometers,
,,,,,,,,,,,
acquisition.calibrated_defocus.minimal,MicroscopeImage.microscopeData.optics.Defocus_min,Defocus_min,_em_imaging.calibrated_defocus_max,Float64,,Defocus_min_min,nm,1000000000,1000,nanometers,
acquisition.calibrated_defocus.maximal,MicroscopeImage.microscopeData.optics.Defocus_max,Defocus_max,_em_imaging.calibrated_defocus_min,Float64,,Defocus_max_max,nm,1000000000,1000,nanometers,
acquisition.nominal_magnification,MicroscopeImage.microscopeData.optics.TemMagnification.NominalMagnification,Magnification,_em_imaging.nominal_magnification ,Int,,,,,,,
acquisition.calibrated_magnification,,,_em_imaging.calibrated_magnification,Int,,,,,,,
acquisition.holder,,,_em_imaging.specimen_holder_model,String,,,,,,,
acquisition.holder_cryogen,,,,String,,,,,,,
,,,,,,,,,,,
acquisition.temperature.minimal,,,_em_imaging.recording_temperature_minimum,Float64,,,K,,,kelvins,
acquisition.temperature.maximal,,,_em_imaging.recording_temperature_maximum,Float64,,,K,,,kelvins,
acquisition.alignment_procedure,,,_em_imaging.alignment_procedure ,String,,,,,,,
acquisition.microscope_software,MicroscopeImage.microscopeData.core.ApplicationSoftware,Software,_em_software.name,String,,,,,,,
acquisition.detectors[N].name,DetectorCommercialName,CameraUsed,_em_image_recording.film_or_detector_model,String,,,,,,,
acquisition.detectors[N].mode,,,_em_image_recording.detector_mode  ,String,,,,,,,
acquisition.dose_per_movie,DoseAverage,DoseAverage,_em_image_recording.avg_electron_dose_per_image,Float64,,,1/Å^2,,,electrons_angstrom_squared,
,,,,,,,,,,,
acquisition.energy_filter.used,MicroscopeImage.microscopeData.optics.EnergyFilter.EnergySelectionSlitInserted,EnergyFilterUsed,,Bool,,,,,,,
acquisition.energy_filter.model,,,_em_imaging_optics.energyfilter_name,String,,,,,,,
acquisition.energy_filter.width_energy_filter,MicroscopeImage.microscopeData.optics.EnergyFilter.EnergySelectionSlitWidth,EnergyFilterSlitWidth,_em_imaging_optics.energyfilter_slit_width,Float64,,,eV,,,electron_volts ,
,,,,,,,,,,,
acquisition.image_size.height,MicroscopeImage.microscopeData.acquisition.camera.ReadoutArea.height,ImageDimensions_Y,_em_image_scans.dimension_height,Int,,,,,,,
acquisition.image_size.width,MicroscopeImage.microscopeData.acquisition.camera.ReadoutArea.width,ImageDimensions_X,_em_image_scans.dimension_width,Int,,,,,,,
acquisition.date_time,MicroscopeImage.microscopeData.acquisition.acquisitionDateTime_start,DateTime_start,_em_imaging.date,String,,,,,,,
acquisition.exposure_time,MicroscopeImage.microscopeData.acquisition.camera.ExposureTime,ExposureTime,_em_image_recording.average_exposure_time,Float64,,,s,,,seconds,
,,,,,,,,,,,
acquisition.tilt_angle.minimal,,TiltAngle_min_min,_em_imaging.tilt_angle_min ,Float64,,TiltAngle_min,°,,,degrees,
acquisition.tilt_angle.maximal,,TiltAngle_max_max,_em_imaging.tilt_angle_max,Float64,,TiltAngle_max,°,,,degrees,
acquisition.tilt_angle.increment,,Tilt_increment_max,_em_imaging.tilt_angle_increment,Float64,,Tilt_increment,°,,,degrees,
acquisition.cryogen,,,_em_imaging.cryogen,String,,,,,,,
acquisition.frames_per_movie,,NumSubFrames,_em_image_scans.frames_per_image,Int,,,,,,,
